1,အချစ်၊ ချစ်ခင်မြတ်နိုးခြင်း
2,ထုံးစံအတိုင်း၊ ခါတိုင်းလိုပဲ၊ အရင်အတိုင်းပဲ၊ ပုံမှန်လိုပဲ
3,နှုတ်ဆက်ခြင်း
4,နှစ်သက်မြတ်နိုးမှု၊ အချစ်မေတ္တာ
5,အချက်ပြခြင်း
6,ရေခဲမုန့်
7,ချစ်သည်။ ကြိုက်နှစ်သက်သည်။ မြတ်နိုးသည်။
8,ပျူငှာခြင်း၊ ဖော်ရွေမှု
9,ကြား
10,ဆက်ဆံမှု၊ ပေါင်းသင်းဆက်ဆံမှု
11,သံယောဇဥ်၊ စွဲလမ်းချစ်ခင်ခြင်း။
12,ထပ်ခါထပ်ခါဖြစ်သည်။ အဆက်မပြတ်ဖြစ်သည်။
13,တဖက်လူ။ တဘက်သား။
14,အကြံဉာဏ်
15,ကံမကောင်းစွာနဲ့
16,ကြောင်ချစ်သူ
17,ကြားကာလ၊ ကြားအချိန်၊ အားလပ်အချိန်
18,မရေမရာဖြစ်သော
19,မီးပူ
20,ကိုက်ညီသည်။ အံဝင်ခွင်ကျသည်။ တထပ်တည်းဖြစ်သည်။တူညီသည်။
21,တွေ့ဆုံသည်။
22,ဘောလုံးက အပြင်ရောက်ခြင်း၊ ဘောလုံးရိုက်သူသေခြင်း၊ အချိန်မမှီခြင်း၊
23,ရဲရဲဝံ့ဝံ့၊ အခက်အခဲရှိပေမယ့်
24,အပြာရောင်
25,အပြာရောင်ဖြစ်သော၊ ပြာသော
26,မော့ကြည့်သည်။ လေးစားသည်။ အကူအညီတောင်းသည်။
27,ဖြူဖတ်ဖြူရော်၊ မျက်နှာ အမူအရာမကောင်းသော
28,အပြာရောင်ကောင်းကင်
29,အနီရောင်
30,ဂျီး
31,အနီရောင်ဖြစ်သော၊ နီသော
32,သက်သေ
33,လိုငွေ၊ အရှုံးပြခြင်း
34,ဖွင့်ပြောသည်။ ညလုံးပေါက်မအိပ်ဘဲ နေသည်။
